id,state,city,place_type,latitude,longitude,zone,risk_score,last_updated,source,dynamic_zone
ee242eee-1b3b-4700-8ec7-71936e99c185,Himachal Pradesh,Shimla,Park/Garden,31.113243,77.171836,Yellow,64,2025-08-25T02:13:00,synthetic_v1,Red
0ff0502e-21f1-4764-99a9-1079f4169e70,Haryana,Gurugram,Park/Garden,28.46774,77.072908,Red,78,2025-07-05T04:59:00,synthetic_v1,Red
4f6c29c2-e762-457c-9032-9ef9d4a61918,Madhya Pradesh,Indore,City Center,22.675983,75.84277,Yellow,55,2025-06-24T15:09:00,synthetic_v1,Yellow
5e6743de-acd5-46a1-a433-6a6371c10afc,Karnataka,Belagavi,Hospital Area,15.887796,74.472481,Red,95,2025-07-26T20:55:00,synthetic_v1,Yellow
799447af-e7c7-4d6b-a869-e4036876977a,Haryana,Hisar,Hospital Area,29.176105,75.701058,Yellow,42,2025-07-11T06:53:00,synthetic_v1,Green
99a665f5-478e-4561-87b6-cd7302cbe3a9,Gujarat,Jamnagar,Transit Hub,22.435434,70.078495,Green,23,2025-06-26T17:15:00,synthetic_v1,Green
74c92050-7564-4f79-9e6f-c6e28983099f,Chhattisgarh,Bilaspur,IT Park,22.036105,82.145951,Green,14,2025-08-26T11:43:00,synthetic_v1,Yellow
412ee5db-7abc-4947-99f6-5572dea49e4c,Tamil Nadu,Coimbatore,Park/Garden,11.034003,76.942158,Green,4,2025-06-22T03:50:00,synthetic_v1,Yellow
46bf2a11-514e-4b1a-8ce9-7e8419af8756,Maharashtra,Kolhapur,Industrial Area,16.720012,74.226724,Green,40,2025-06-11T06:46:00,synthetic_v1,Yellow
e3b30f87-e489-48e8-b0c3-50ed127690a1,Goa,Margao,Tourist Spot,15.288382,74.012475,Yellow,49,2025-08-30T17:02:00,synthetic_v1,Yellow
c84cf92f-c899-4796-9cae-95d188c22a9a,Punjab,Jalandhar,Residential,31.32612,75.547022,Green,29,2025-08-20T15:52:00,synthetic_v1,Green
389fa7af-83a2-4cf8-9b91-e5ddd2e83369,Ladakh,Leh,Park/Garden,34.138558,77.548137,Green,25,2025-07-23T16:52:00,synthetic_v1,Yellow
4802417b-a7b3-4df4-ac53-6bcb87fc9355,Uttarakhand,Haridwar,Tourist Spot,29.950455,78.182191,Red,91,2025-08-18T02:33:00,synthetic_v1,Red
73ee17f1-2d3c-4c64-9292-7e28caca7a9a,Gujarat,Surat,Transit Hub,21.151199,72.801475,Yellow,49,2025-06-29T23:17:00,synthetic_v1,Yellow
c34fa269-fd64-4dfa-a618-a364b441d300,Ladakh,Leh,City Center,34.10608,77.583599,Yellow,50,2025-07-14T18:31:00,synthetic_v1,Yellow
9a2f6632-1414-4c99-abbd-9da4d9a1c12b,Meghalaya,Shillong,Park/Garden,25.525662,91.897736,Yellow,44,2025-06-19T14:07:00,synthetic_v1,Red
5c2753d8-2f8f-4597-9a03-fa9116ddd935,Madhya Pradesh,Indore,Industrial Area,22.698533,75.859499,Yellow,65,2025-07-02T23:22:00,synthetic_v1,Yellow
698df5a6-8a51-4cb6-8317-e48eadb7da30,Uttarakhand,Dehradun,Tourist Spot,30.313249,78.040086,Green,19,2025-08-08T22:45:00,synthetic_v1,Green
51026737-102c-4889-abf0-ade96a112d78,Gujarat,Jamnagar,IT Park,22.472091,70.040647,Red,95,2025-07-01T19:52:00,synthetic_v1,Red
c8f02cce-c994-485c-868c-3974b7b0c5ce,Andaman and Nicobar Islands,Port Blair,Residential,11.6196,92.704413,Green,13,2025-06-30T00:16:00,synthetic_v1,Green
cfc8fba0-5847-4c32-869c-5207e338a8b4,Punjab,Amritsar,Residential,31.603907,74.853354,Yellow,69,2025-07-03T09:53:00,synthetic_v1,Yellow
f9fcc6d6-c328-4b11-aca8-2938322b462d,Maharashtra,Pune,City Center,18.522202,73.870999,Green,37,2025-08-10T23:56:00,synthetic_v1,Green
e3697d33-b25f-4c05-a853-e2264584d520,Maharashtra,Nagpur,IT Park,21.148552,79.102954,Yellow,57,2025-08-08T15:18:00,synthetic_v1,Red
dd7a3e43-f3e1-4ecc-9418-3bfa8e615130,Madhya Pradesh,Sagar,IT Park,23.799662,78.730568,Green,36,2025-07-09T16:10:00,synthetic_v1,Yellow
47c565f5-5475-4b66-a6ba-7728dc9ef2e8,Telangana,Karimnagar,City Center,18.452094,79.149193,Yellow,54,2025-07-17T09:05:00,synthetic_v1,Yellow
52317626-cccd-4652-a1bf-7b1bf65e5753,Haryana,Karnal,Park/Garden,29.672517,76.98841,Green,6,2025-08-07T17:48:00,synthetic_v1,Yellow
a10c791a-a412-4b80-98ca-5b513dd1cead,Uttar Pradesh,Noida,Park/Garden,28.553997,77.400349,Yellow,68,2025-08-29T09:09:00,synthetic_v1,Red
ba4371bc-ab6c-4b59-8ef1-b352ff9e96a8,Haryana,Karnal,IT Park,29.685645,77.004494,Green,5,2025-08-08T18:34:00,synthetic_v1,Yellow
e05916fe-1d49-4773-a33f-757de4dcf84e,Uttar Pradesh,Saharanpur,IT Park,29.982457,77.527552,Red,83,2025-09-07T11:44:00,synthetic_v1,Red
f31f3012-3eb7-412a-96d3-9bf52e2c0992,Odisha,Rourkela,Market,22.251084,84.890229,Green,35,2025-06-15T01:29:00,synthetic_v1,Green
e34da0e5-4d07-4f74-a744-2ab57e44c9af,Kerala,Kollam,City Center,8.887448,76.643328,Green,34,2025-08-31T00:40:00,synthetic_v1,Green
45e9de20-2451-4a23-b442-6ddd2edbb972,Chhattisgarh,Durg-Bhilai,Market,21.18926,81.240597,Green,10,2025-08-31T07:55:00,synthetic_v1,Green
6c139309-9923-4903-ab72-a78ffb90b5bd,Gujarat,Vadodara,Tourist Spot,22.270023,73.160793,Yellow,44,2025-06-27T16:23:00,synthetic_v1,Yellow
a8d2133d-970c-4a6a-aa25-cba34a03e91a,Chhattisgarh,Raipur,Industrial Area,21.272076,81.589709,Green,33,2025-07-29T15:47:00,synthetic_v1,Green
dddf63ba-c305-4207-8c74-bef4acc12be3,Maharashtra,Thane,IT Park,19.238713,72.998177,Green,29,2025-07-29T22:00:00,synthetic_v1,Yellow
b196b8c8-8f98-4b9e-a7a3-8d7f5594d5b9,Haryana,Karnal,Residential,29.69994,76.994364,Yellow,70,2025-07-25T21:04:00,synthetic_v1,Red
f1361f4c-bf86-4db7-8fa9-117acfce9df3,Tamil Nadu,Madurai,City Center,9.936128,78.092687,Yellow,50,2025-06-21T03:27:00,synthetic_v1,Yellow
87200e7f-89ae-4912-a9ca-cbb50a728d8b,Lakshadweep,Kavaratti,Transit Hub,10.537296,72.621324,Green,8,2025-08-05T20:04:00,synthetic_v1,Green
890a9fcf-4db8-4a74-b1b8-163ee625e3c7,Lakshadweep,Kavaratti,College Area,10.583489,72.632603,Yellow,51,2025-08-12T02:20:00,synthetic_v1,Yellow
cf05969a-f482-4b97-a3da-51face2449c6,West Bengal,Kolkata,College Area,22.55143,88.397789,Green,5,2025-06-18T10:07:00,synthetic_v1,Green
80df3d7b-a0e4-4f32-a1be-2429d76aecef,Chhattisgarh,Bilaspur,Park/Garden,22.07641,82.13956,Green,16,2025-08-18T00:32:00,synthetic_v1,Yellow
24137989-5f54-44f7-ae26-1432e3892f69,Uttar Pradesh,Varanasi,Industrial Area,25.34377,83.008069,Green,9,2025-06-30T22:07:00,synthetic_v1,Green
20bbf4a6-fe45-4b78-8782-9becb5d46101,Lakshadweep,Kavaratti,Residential,10.577533,72.651631,Yellow,69,2025-09-02T12:47:00,synthetic_v1,Yellow
b20650b6-af81-4d22-9450-d8f4683849db,Haryana,Rohtak,Market,28.883688,76.572451,Green,39,2025-08-19T16:05:00,synthetic_v1,Green
56724291-da6a-4210-b52d-5f4430ce00dc,Kerala,Kochi,Residential,9.939071,76.318196,Green,21,2025-07-17T02:05:00,synthetic_v1,Green
